filename	title	document_type	classification	security_level	date	origin_agency	sender	recipient	summary
104-10187-10103	CUBAN DEFECTOR: Briefing in Guatemala (Chief of State Peralta)	Memorandum	Cuba	SECRET	1964-10-13	CIA	CIA	CIA	This memorandum discusses a briefing in Guatemala regarding Cuban defector operations, DGI structure and operational techniques, and potential cooperation between the U.S. and Guatemala in intelligence matters.
104-10187-10109	Classified Message Regarding Cuban Target and Intelligence Activities	Classified Message	Cuba	SECRET	1963-09-27	CIA	CIAOFFICER	DIR	This classified message discusses meetings with a Cuban target and a Cuban defector, intelligence gathering efforts, and concerns about security leaks and potential compromise of CIA operations. It also covers topics such as PCES activities, recruitment of individuals, and the disappearance of Roque Dalton.
104-10187-10110	Recruitment of Cuban Target in El Salvador	Classified Message	Cuba	SECRET	1963-09-28	CIA	DIR	WH DIV CUBA	This document details a CIA operation involving the recruitment of a Cuban target through the cooperation of a Salvadoran intelligence chief. It outlines the importance of the target's knowledge of communist parties in El Salvador and other Central American countries, and the security measures in place to protect the operation.
104-10187-10111	DIR 52099: ALTERNATIVE UNDER CIRCUMSTANCES	Cable	Cuba	SECRET	1964-09-20	CIA	DIRECTOR	SALF	Cable discusses potential alternative under certain circumstances, mentioning CUBA SLUBAN DETECTOR and RAFS SALY MOLEX 5296.
104-10187-10113	Cuban Defector	Cable	Cuba	SECRET	1963-09-30	CIA	SAN SALVATEIS	WH8	This cable discusses the handling of a Cuban defector, referred to as DALTON. It assesses his potential value as an agent against Cuban intelligence and the obstacles he presents if released. It also covers the protection of equity in a Cuban target, recruitment efforts, and the arrest of guerrillas trained in Cuba.
104-10187-10117	DIR CITE SALY 5329 WH DIV CUBA CUBAN DEFECTOR	Cable	CIA	SECRET	1954-10-01	CIA	WA Y	DIR	This document discusses matters related to a Salvadoran asset and a Cuban exile asset. It mentions discussions with NIGHT 38, arrangements for DALTON, and plans for a return after a stop. It also includes routing and handling information.
104-10187-10142	Briefing on Cuban Subversion	Cable	Cuba	SECRET	1964-09-08	CIA	SAN SALVADOR	DIRECTOR	Cable regarding briefing to the President concerning Cuban subversion and use of material, emphasizing the need for professional handling and security.
104-10187-10146	Salv 5289: WH DIV CUBA CUBAN DEFECTORS	Cable	Cuba	SECRET	1962-09-25	CIA	Station	DIR	Cable discusses a plan to move DALTON to a house where a CIA officer can see him alone and verify a cutout story through PLA.
104-10187-10147	Intel Service Chief LIGIBON to attend President Rivera's briefing	Cable	Cuba	SECRET	1964-09-03	CIA	Director	Director	This cable discusses the importance of the Intel Service Chief LIGIBON attending President Rivera's briefing, as he will likely try to move in on leads and take full credit for the Cuban defector information.
104-10187-10149	STAFF EMPLOYEES WILL TRAVEL SALV	Cable	Operations	SECRET	1964-08-27	CIA	SALV GUAT	DIRECTOR	This cable discusses potential meetings and discussions in El Salvador and Guatemala regarding Cuban subversion, as well as potential pitches to AMMUG leads.
104-10187-10174	Transmittal of Debriefing Report on use of Fraudulent International Travel Documentation by Cuban Intelligence	Dispatch	Cuba	SECRET	1964-07-13	CIA	HAS CACICER	Chief of Station, London; Chief, Frankfurt; COS, Germany	Transmittal of Debriefing Report on use of Fraudulent International Travel Documentation by Cuban Intelligence. Cena 4819.
104-10187-10208	Traces of Individuals and Travel Watchlist Request	Cable	Cuba	SECRET	1965-04-19	DIRECTOR	DIR	OM PANAMA CITY	This cable discusses traces of individuals, including Roque Dalton Garcia, Rogelio Rodriguez, Julio Damas Vasquez, FNU Sosa, Alejandro Gomez Montano, and Ricardo Martinez, and requests advice on disclosing names to Panamanian authorities for travel watchlist purposes.
104-10188-10015	Various documents related to Project KDAFGHAN and related operations in Mexico City	Dispatch/Memo/Notice/Form	Administrative	SECRET/CONFIDENTIAL	1963-11-01	CIA	Various	Various	This collection of documents primarily concerns Project KDAFGHAN, a photographic operation conducted in Mexico City. The documents cover various aspects, including equipment requests (specialized lenses, cameras), passport renewals for KDAFGHAN personnel, technical issues with pulse cameras and related equipment, file management procedures (opening, amending, closing files), cryptonym changes, and audit reports. Mentions of LIONION, AQUATIC, and other related operations are interwoven. Also included are administrative notices concerning file processing and retirement.
104-10188-10454	DIR CITE SALV 5229: WHDV CUBA CUBANDEF	Cable	Cuba	SECRET	UNKNOWN	Director	Director	DDP, WILSA 8, CI, Cilops, ciles, VE	This cable discusses the approach to a liaison asset (Tapy/Watson) and details a refusal to serve as an informant due to security concerns. It mentions potential work with someone enjoying close relations with a cultural attaché. Instructions are given to delay further action until advised, and a request is made to identify a representative mentioned in a previous reference.
104-10192-10110	MOC, Christian Democracy in Latin America, Plans for ODCA Mid-April Congress	Dispatch	FBI	SECRET	1967-12-29	FBI	Chief of Station, JMWAVE; William V. Brocc	Chief, WH Division; Chiefs, All MI Stations and Bases	This document discusses the Organizacion Democrata Cristiana de America (ODCA) Congress, Christian Democracy in Latin America, and European CD support to CD parties.
104-10192-10154	Setting Off of Bombs by Juventud Accion Cubana Anticomunista	Cable	Cuba	SECRET	1960-05-07	CIA	HAVANA	DIRECTOR	Cable regarding Cuban youth plans for sabotage on 30 April by JUVENTUD ACCION CUBANA ANTICOMUNISTA.
104-10192-10229	DIRECTOR BELLA NAPELI	Cable	Operations	SECRET	1966-10-05	CIA	JAVE	DIRECTOR	This cable discusses Orlando Bosch's suspended sentence, allegations of WOFACT activities, and potential publicization of JMWAVE activity.
104-10192-10266	Miami Herald Article on Manuel Ray Replacing Miro	Classified Message	Cuba	SECRET	1962-05-27	JMWAVE	JMWAVE	DIRECTOR	This document discusses an article in the Miami Herald that claims Manuel Ray has replaced Miro as exile chief with the blessing of the United States. The article has caused concern in the local Cuban colony, and the CIA is considering discrediting the story and reassuring Miro.
104-10192-10284	STATEMENTS OF MANOLA RAY, EXILE LEADER OF THE PEOPLE'S REVOLUTIONARY MOVEMENT	Telegram/Information Report	Cuba	SECRET	1961-10-24	Central Intelligence Agency	LONDON	STATE, CINCLANT, CINCARIB	Statements of Manolo Ray, exile leader of the People's Revolutionary Movement, regarding the overthrow of Castro and the role of internal resistance.
104-10193-10016	Debriefing Report - Santiago SANCHEZ de la Torre	Dispatch/Debriefing Report	Cuba	SECRET	1963-10-04	CIA	Chief of Station, JMWAVE	Chief, Special Affairs Staff	Debriefing report on Santiago SANCHEZ de la Torre, detailing his work against the CASTRO regime, his involvement with the MRR, and information regarding the MRR roll up. Includes information on Angel BENCOMO, believed to be responsible for the MRR roll-up.
104-10194-10024	Terence S. CRABANAC Contract Employment Records	Memorandum and Contract Documents	Personnel	SECRET	1965-07-04	CIA	Chief, Contract Personnel Division and various other CIA offices	Chief, Contract Personnel Division	This collection of documents pertains to the contract employment of Terence S. CRABANAC with the CIA from 1965 to 1970. It includes contracts, amendments, and memoranda regarding his compensation, allowances, travel, operational expenses, benefits, and cover activities. Key topics include his assignment to Spain, housing allowances, royalty retention, and transition from staff employee to contract employee.
104-10209-10018	REDWOOD/LCIMPROVE: Semen Spiridon POHORILYJ and Jozef KOZAK Investigations	Dispatch/FBI Document/Report	Liaison	SECRET	1962	CIA/FBI	Chief of Station, Paris/Vienna; Deputy Director (Plans)	Director, Federal Bureau of Investigation; Chief, SR; Chief, WE; Chief, EE	This file contains dispatches and FBI documents related to Semen Spiridon Pohorilyj and Jozef Kozak. The documents discuss investigations into their activities, contacts, and potential connections with Soviet intelligence.
104-10209-10025	DE GOLYER CO.	Memo	Administrative	CONFIDENTIAL	1961-04-28	CIA	OFTLER	CYP STAFF	This document references DeGolyer & MacNaughton and photogeological mapping in the Spanish Sahara.
104-10209-10164	Location and Code List for Divisions and Operations	List	Administrative	SECRET	2025	Unknown	Unknown	Unknown	Lists of locations and codes related to various divisions and operations.
104-10209-10259	THE LEE HARVEY OSWALD CASE	Memo	Security	SECRET	1964-01-29	CIA	H. D. Stevens	N/A	This memo discusses Abram Chayes, Llewellyn Thompson, and Samuel Wiese's alleged involvement in Lee Harvey Oswald's return to the United States from the Soviet Union in June 1962. It also details security clearances, associations, and investigations related to these individuals.
104-10210-10020	RELEASE UNDER THE PRESIDENT JOHN F. KENNEDY ASSASSINATION RECORDS ACT OF 1992	Memo	Soviet	Top Secret	1968-02-01	CIA	CIA	Unknown	This document is a memo regarding the Top Secret study entitled, "The Examination of the Bona Fides of a KGB Defector - Yuriy I. NOSENKO," dated February 1968. It details the attachment of specific pages, deletion of sensitive information, and a request for the study's return after review. The memo also warns of sensitive intelligence sources and methods involved.
104-10211-10146	PBQ Part I - Alfonso Dabilodox Torres	Dispatch	Operations	SECRET	1963-11-13	CIA	Chief of Station, Mexico City	Chief, WH Division	Dispatch from the Chief of Station, Mexico City to Chief, WH Division regarding PBQ Part I on Alfonso Dabilodox Torres. Requests provisional operational approval and a 201 number. Includes assigned cryptonym.
104-10211-10326	LIENVOY-8	Dispatch	Operations	SECRET	1963-10-23	WE Division	Chief, WE Division	Chief of Station, Mexico City	This dispatch discusses LIENVOY-8, a person believed to have been terminated from the LIFEAT and LIENVOY project but still covered by the LIEKVOY Project. Headquarters requests information on the present status of LIENVOY-8, including whether he has been terminated or is still being used, and if so, an analysis of his reliability and any security problems.
104-10213-10002	Related Mission Directive for Mexico	Memorandum	Mexico	UNCLASSIFIED	1961-01-24	CIA	Chief, WH Division	Deputy Director (Plans)	This memorandum discusses the revised Related Mission Directive for Mexico. It outlines the long-range national policy objectives of the U.S. Government toward Mexico, operational emphasis on clandestine collection and covert action operations, and changes in the MAD. The directive includes objectives related to obtaining information on Sino-Soviet bloc activities, reducing Communist influence, obtaining information on the Communist Party of Mexico, and supporting efforts against the Castro regime in Cuba.
104-10213-10202	The 201 System	Handbook Excerpt	Administrative	SECRET	1974-11-15	DDO/RMO	Information Services Group (ISG)	DDO/RMO	This document describes the 201 system used by the Operations Directorate for identifying, controlling, and filing information on persons of interest. It covers 201 numbers, dossiers, master records, OI codes, machine lists, dossier creation, maintenance, restrictions, information requests, and cancellation procedures.
104-10213-10209	RESTRICTIONS ON OPERATIONAL USE OF CERTAIN CATEGORIES OF INDIVIDUALS	DDO Instruction	Operations	SECRET	1973-09-04	DDO	Deputy Director for Operations	All DDO Elements	This document outlines restrictions on the operational use of certain categories of individuals by the DDO. It details prohibitions and policy restrictions based on U.S. Governmental directives, agency agreements, and the DDO's risk assessments. It includes guidelines for approval procedures when using individuals from sensitive categories, such as members of ACTION, Fulbright grantees, media employees, and foreign nationals.
104-10213-10352	House Select Committee on Assassinations Request for Information on 201 Criteria (S)	Memorandum	Administrative	SECRET	1978-02-28	CIA	C/ISS	O/SA/DO/O	This document discusses the 201 system, which is a method for identifying persons of interest and controlling information about them. It includes details on opening, maintaining, controlling, and closing 201 files, as well as the use of OI codes and machine listings.
104-10215-10003	GENERAL- Administrative, SPECIFIC- Arthur G. VAIVADA	Dispatch/Memorandum	Administrative	SECRET	1957-11-07	Chief of Station, Habana	Chief of Station, Habana	Chief, WHD	This document discusses Arthur G. Vaivada's request for reassignment from Habana in June 1958, including his interest in being assigned to Spain under unofficial cover and the Station's recommendation for his reassignment.
104-10215-10004	Request for Domestic Cover for Ross Crozier	Memorandum	Personnel	SECRET	1963-06-25	CIA	Chief, SAS; Desmond FitzGerald; Chief, SAS/Support; Board J.	Central Cover Staff; Chief, Central Cover Staff; Chief, Finance Division	These documents relate to the request for domestic and military cover for Ross Crozier, including reasons for the request and updates on his location and duties.
104-10215-10018	MEXI 5444: REDWOOD LCIMPROVE SPOT APPROACH TO BAKULIN	Cable	Mexico	SECRET	1963	CIA	MEXICO CITY	DIRECTOR	This cable discusses potential assets for accessing Valentin Vasilyevich Bakulin and requests traces on Arturo Carrillo Esparza and Cynthia Chlebicki.
104-10215-10035	Medical Information and Activities in Cuba	Report	Cuba	CONFIDENTIAL	1963-02-23	MRSAVE	ASSET	Headquarters attn & atts.	This report details information obtained from various sources regarding medical supplies to Cuba, film purchase requests, and personnel listings. It includes bulletins from anti-communist groups, letters concerning film purchases from Czechoslovakia, and commentary from Cuban medical figures.
104-10215-10128	BARNES, WINIFRED C.	Memorandum	Security	CONFIDENTIAL	1967-02-28	CIA	Chief, Personnel Security Division	Director, Domestic Contact Service	This file contains interoffice memorandums, security messages and information reports pertaining to Winfred Clark Barnes and his activities. The documents detail security checks, biographic data, clearance requests, and his employment history with Esso and International Petroleum Company. The reports also cover topics such as anti-Castro attitudes of ICP personnel, operations of refineries, and oil-related issues in Cuba.
104-10215-10139	Request for Training at ISOLATION	Cable	Operations	SECRET	1965-07-07	JMWAVE	JMWAVE	DIRECTOR, EGLIN	This cable details a request for training for a six-man leader group at ISOLATION, scheduled to arrive on July 11. The training will focus on isotropics, with less emphasis on UDI, stress leadership, and field exercises encompassing tradecraft, caching, and observation reporting. All trainees have completed JMWAVE training and have OA's and recent LCFLUTTERS. The cable also requests airlift for the leader team to ISO on the night of July 11 and return of the AMANCHOR group from ISO to WAVE on the night of July 12.
104-10215-10146	Training Report for FRANK - PBRUMEN II	Training Report	Personnel	SECRET	1966-08-30		JEROME W. GREINER, Project Officer, Chief Instructor (JOSEPH M. HUDACEK)		This document is a training report for student FRANK in paramilitary resistance activities and intelligence collection operations, covering the period from July 11 to August 13, 1966. It includes performance evaluations and narrative comments on FRANK's skills and capabilities.
104-10215-10188	DIR 48198: Keyway PBRUMEN AMWHIP	Cable	Operations	SECRET	1963-06-18	SAS/EOB	Director	Rome	Cable regarding an activation effort to a DRAGON agent in PBRUMEN, who met in Paris by THOMPSON and WALLACE A. GROWERY last summer. Request for SMITHAM to ask AMTHIP for date he sent letter to "THOMPSON'S FRIEND" in PBRUMEN.
104-10215-10200	PREPARATION OF OUTGOING SW MESSAGES	Letter	Cuba	SECRET	1963-01-21	PSD/SWB	PSD/SWB	Bill Wainwright	This document is a letter to AMLASH/1, which discusses a number of topics, including the possibility of AMLASH/1 returning to military service, the need for more detailed information in reports, a potential meeting in Mexico, and the location of hiding places in Paris. The letter also requests information on Soviet medical clinics in Cuba, reports of Soviet citizens becoming ill, shipments of bad meat from the Soviet Union, and reports of cattle in Cuba being infected with foot-and-mouth disease.
104-10216-10000	Director 627921	Cable	Operations	SECRET	1980-03-04	DIRECTOR	STAFF	MADRID	This cable discusses the Department of State authorizing visas to the AMLASH family, with a proviso that they are bona fide visitors and not immigrants. It also includes a debriefing of AMLASH-1 in Madrid, where he expressed his intention to settle in Spain. The file number is 201-252234.
104-10216-10002	NINTEL ANLASH	Cable	Operations	SECRET	1980-01-02	CIA	DIRECTOR	MADRID	Cable regarding AMLASH/1 (Cuban asset) in Madrid, meeting with a representative, and future plans. Request for contact information for IDEN B upon arrival in Madrid.
104-10216-10046	Visit of Identities	Dispatch	Operations	SECRET	1962-07-23	CIA	Dexter E. Kelpe	Acting Chief of Station, Lata	This dispatch discusses Identities A and B. Identity A is willing to serve ODYOKE without remuneration and has been in contact with the local attache regarding aeronautical spare parts. Identity B has been in contact with another ODYOKE component since January 62 and therefore cannot be approached by KUBARK.
104-10216-10073	Report of PBPRIME Citizen on Connections with Ecuadorean Government	Dispatch	Operations	SECRET	1960-10-05	WH	Chief, WH	Chief of Station, Quito; Chief of Base, Guayaquil	Report of PBPRIME Citizen on Connections with Ecuadorean Government, Subject's statements and activities in Ecuador
104-10216-10075	I. IRVING DAVIDSON	Memo	Personnel	UNCLASSIFIED	1958-10-06	Far East Division	Chief, Far East Division	Chief of Station, Manila	This memo discusses I. Irving Davidson, an international businessman, and his potential involvement in business propositions, as well as his contacts with various government agencies and foreign representatives. It also mentions his relationship with Drew Pearson and MIRAVELIN and his activities related to arms sales and travel agencies.
104-10216-10148	TYPIC/Operational Transmittal of Operational Plan for ANTRUNK VII	Dispatch/Operational Plan	Operations	SECRET	1964-01-28	JEWAVE	Chief of Station, JEWAVE	Chief, Special Affairs Staff	Operational plan for ANTRUNK VII, involving infiltration into Northern Matanzas Province and Havana to accomplish MHAPRON objectives. The plan includes establishing contact with ANTRUNK-10, recruiting Jose Alberto SEMIDEY Isalgue, and caching a clandestine radio set.
104-10216-10159	Improved Sight for 7.62 Belgium (FAL) Rifle	Memorandum	Operations	SECRET	1964-06-24	TSD/Engineering Branch	C/TSD/EB	C/WH/SA/MOB/PM	This memorandum details the provision of improved sights for the 7.62 Belgium (FAL) rifle, including rear sight hoods, instructions, tool kits, and ammunition. It notes the infeasibility of developing a scope and mount within the given timeframe and provides contact information for additional details.
104-10216-10171	Tests of Modified Sights for 7.62 Belgium (FAL) Rifle	Memorandum	Operations	SECRET	1964-06-10	TSD/EB	DANIEL J. HOGAN	Record	This memorandum details tests conducted on modified sights for the 7.62 Belgium (FAL) Rifle. The tests involved a Williams Peep sight and a telescopic sight, with the aim of improving the rifle's accuracy and range. The tests revealed issues with both sights, including erratic performance and mounting difficulties.
104-10216-10199	Communication Details for Rolando CUBELA Secades	Memo	Cuba	SECRET	1963-11-01	Unknown	Unknown	Unknown	This document details communication methods and addresses for contacting Rolando CUBELA Secades, including standard, rapid, and emergency options. It also specifies code names and procedures for secure communication.
104-10216-10202	250661 13 192 TO PARIS FROM DIRECTOR	Cable	Operations	SECRET	1964-08	CIA	DIRECTOR	PARIS	Cable discusses traces of CANTO and refers to RYBAT.
104-10216-10234	Test of Open Sight Hood for 7.62um Belgium (FAL) Rifle	Memorandum	Operations	SECRET	1964-07-01	DDP/TSD/EB	DANIEL J. BOGAN	THE RECORD	This memorandum details tests conducted on an open sight hood for the 7.62mm Belgium (FAL) Rifle, including tests of improved underloaded 7.62mm NATO rounds, listener trials to determine the distance at which the rifle's mechanical noise could be discerned, and an evaluation of the sight hood's fit on various rifles. It also covers the use of a scope in low light conditions and the delivery of sight hoods and ammunition.
104-10216-10238	AMLASAL	Cable	Cuba	SECRET	Unknown	DIR	AMLASAL	UIT	Cable discusses Manuel Cantillo Toirac, new second secretary at the Cuban Embassy in Madrid, who is reportedly connected to Cuban Security, and the development of a close friendship with Cantillo.
104-10216-10273	TYPIC/WHAPRON/ANTRUNK/Operational ABSTRACT: ANTRUNK Progress Report for Period 1-30 November 1964	Dispatch	Operations	SECRET	1964-12-10	JMWAVE	Chief of Station, JMWAVE	Deputy Chief, WH/SA	This dispatch reports on the progress of ANTRUNK operations for November 1964, including preparations for ANTRUNK X, recruitment efforts, and communication with assets. It also details operational expenditures and projected plans for future operations.
104-10216-10338	DIR 95504: UNSKAPU/9 Firing and Potential Hazard to AMLASH/1	Cable	Cuba	SECRET	1965-03-24	CIA	DIRECTOR	PARIS	This cable discusses the potential hazard of UNSKAPU/9 firing to AMLASH/1 and suggests methods to determine the background of UNSNAFU/19's statement about U/9 being a "dirty KUBARK agent." It proposes using AMWHIP/1 and his jeweler friend in Havana, Jose Iglesias, to relay information to ANLASH/1.
104-10216-10397	PEAT TYPIC AMLASH	Cable	Operations	SECRET	1965-06-25	FI	ROME	DIRECTOR	This cable discusses the AMLASH operation and the involvement of AMWHIP/2. It suggests minimizing contact with AMWHIP/2 until Joseph Langosch can provide background information.
104-10216-10398	Meeting with AMLASH-1 in Paris, 31 January to 3 February 1965	Memorandum	Cuba	SECRET	1965-02-15	CIA	Nestor D. Sanchez, WH/SA/AMWORLD	Record	Memorandum detailing a meeting with AMLASH-1 in Paris from January 31 to February 3, 1965. Topics discussed include security implications related to the capture of Modesto Orlando Orozco Basulto, resupply of S/W developer pills, upcoming FEU elections, precautions for sabotage of locomotives being shipped from France to Cuba, and information on Cuban Intelligence Service personnel and other Cuban officials.
104-10217-10000	MEMORANDUM FOR THE RECORD SUBJECT: Clemard Joseph CHARLES	Memorandum	Cuba	CONFIDENTIAL	1963-05-10	CIA	A. F. CZAJKOWSKI	RECORD	This memorandum details contacts and assessments of Clemard Joseph Charles, a Haitian banker, by various US agencies. It discusses his connections to President Duvalier, his political ambitions, and his interactions with US officials. The memo also mentions George de Mohrenschildt and his background.
104-10217-10185	Cable Regarding Communication from Cuban Prison	Cable	Cuba	SECRET	1971-03-30	Unknown	MADRID	Unknown	This cable discusses Lazaro Gutierrez Menoyo's note from a Cuban prison to Pedro M. Diaz in Miami. It also mentions Eloy Gutierrez Menoyo and traces on Diaz.
104-10217-10196	CLASSIFIED MESSAGE	Cable	Cuba	SECRET	1964-08	PARIS	PARIS	DIRECTOR	This cable discusses Richard Gibson, former secretary of the 'Fair Play for Cuba Committee,' and his alleged misuse of office. It also mentions the magazine 'Revolution' and efforts to buy up copies.
104-10217-10228	CONTACT REPORT #11	Contact Report	Operations	Secret	1963-01-25	Unknown	Tulpa	Unknown	Report on a meeting held on January 25, 1963, concerning Kulpa's trip to the Congo, instructions to Meinturff, Serge Michel's agreement to use K.K.'s photos for a new trique Revolutionaire (I), and contact from Gibson regarding Dave Watts' request for photos. Also includes accounting matters and the schedule for the next meeting.
104-10218-10035	Project Outline: Support for Singleton Contract Agent Operating in Right-Wing Political Milieu in Mexico	Project Outline	Mexico	SECRET	1965-07-01	KUBARK (CIA)	Station Mexico City	Headquarters	This document outlines a project to support a U.S. contract agent (LIHUFF/1) operating in Mexico City, focusing on intelligence gathering and covert action related to right-wing political elements in Mexico. The project aims to provide insights into the stability of the Mexican government and potentially contribute to MHSPAWN objectives. It details the agent's background, objectives, operational assets, security considerations, and budget.
104-10218-10060	NIKOLAY STEPANOVICH LEONOV Travel Information	Cable	Soviet	SECRET	1966-07-08	Director	DIRECTOR	BRUSSELS, THE HAGUE	Cable regarding NIKOLAY STEPANOVICH LEONOV's travel plans from Mexico City to Brussels and potentially Moscow, including flight details and requests for confirmation.
104-10218-10083	Classified Message Regarding Subject's Political Beliefs and Visit to China	Classified Message	Operations	SECRET	1964-05-20	Director	DIRECTOR	MEXICO CITY, GUATEMALA CITY	This document is a classified message regarding a subject described as leftist but anti-communist and strongly anti-American. The agency wants to develop information on his current political beliefs and why the subject wanted to visit China. They want to evaluate answers to determine his ability to provide intel, with a view toward recruiting him for a briefed mission or residence in China. The message also discusses the possibility that the subject may have been asked to carry back messages, money, or perform other services in Mexico by the Chinese communists.
104-10218-10097	ANUPAS-1 Incident in Guatemala	Cable	Operations	SECRET	1961-11-03	CIA	GUATEMALA CITY	DIRECTOR	Cable details the arrest and expulsion of ANUPAS-1 from Guatemala for attempting to transport Coxie propaganda. ANUPAS-1 tried to enter Guatemala on November 3, was denied entry, returned on November 7, arrested on November 8, and expelled to Mexico on November 8. The arrest received press coverage.
104-10219-10143	Director to Tokyo: Investigation into Martin Contacts and Potential Soviet Intelligence Connections	Cable	Operations	SECRET	1961-04-17	CIA	Director	Tokyo	This document discusses Martin's contact with Dr. Jakob Y. Fischer, Yuri Rastvorov's female contact, and potential Soviet intelligence connections in Tokyo. It requests traces on John Joseph Casey, Joseph W. Jason, and Major Paul Rochelle, and inquiries about Burris's presence in Tokyo.
104-10219-10154	William Hamilton Martin and Bernon Ferguson Mitchell	Memorandum and Letters	Liaison	SECRET	1975-12-12	CIA	Deputy Director for Operations	Director, National Security Agency	This collection of documents discusses William Hamilton Martin and Bernon Ferguson Mitchell's desire to leave the USSR and potential assistance from Canadian professor Dr. Hans Kunov.
104-10219-10282	Georges Papanton MITCHELL; Anastasia Martini DAKARJIN, Espionage – R.	Memorandum	Liaison	SECRET	1961-07-26	Central Intelligence Agency	WILLIAM K. HARVEY	Federal Bureau of Investigation	Memorandum regarding Georges Papanton MITCHELL, Anastasia Martini DAKARJIN, and Nicolas Georges DAMASCOU aka DAMASCUS aka DAMARCON aka RAMASCUS, focusing on their travel history, visa applications, and current whereabouts.
104-10219-10283	Person Ferguson MITCHELL, William Hamilton MARTIN, Espionage-R	Memorandum	Liaison	SECRET	1961-07-17	CIA	William K. Harvey, Deputy Director (Plans)	Federal Bureau of Investigation	This memorandum from the CIA to the FBI concerns Person Ferguson MITCHELL, William Hamilton MARTIN, and Espionage-R. It discusses information related to Nicolas Georges DAMASCUS, Justo SIERRA Casasus, and their potential connections to Soviet intelligence officers, including Boris A. KAZANTSEV, and the escape route used by NSA defectors, transiting Mexico and presumably Cuba en route to the USSR.
104-10219-10418	MEXI 8621: JMZIP RYBAT - BARBOSA Tomar	Cable	Cuba	SECRET	1961-08-06	CIA	MEXICO CITY	DIRECTOR	This cable discusses a plan to establish a clandestine radio station in Mexico, named "RADIO CUBA LIBRE," to communicate with a sabotage team in Cuba. LITAMIL-5 is tasked with contacting LIOOZE-1 in Havana and delivering a code book to "JESUS BADAL," who is in contact with KUBARK PBPRIME. The radio transmitter was received as a gift, and LITAMIL-5's voice will be used for the broadcasts.
104-10219-10439	MACHADO Llosas, Manuel	Report	Cuba	UNCLASSIFIED	JUN 1960	CIA	Mexico City Station	Mexican Desk	Report on Manuel MACHADO Llosas, a Cuban exile in Mexico who was a member of the 26th of July group and is now a CIA agent (LITAMIL-1).
104-10220-10069	POSADA, LUIS CLEMENTE	Report	Security	SECRET	1972-04-26	CIA	Chief, CI/Operations	Deputy Director Security	This file contains information on Luis Posada Carriles, including polygraph results, requests for investigation, and operational approvals.
104-10220-10224	Classified Message Regarding Unidentified Subject	Classified Message	Operations	SECRET	1962-06-22	WE/3	DIRECTOR	PARIS, MADRID	This message discusses the inability to identify a subject, requesting more information. Mentions KEYWAY PBRUMEN UNRUMBLE and references PARI 1548.
104-10220-10293	Transmittal of Letters Sent to Movimiento Democrata Cristiano Representative in Cuba	Dispatch	Cuba	SECRET	1961-06-23	JHWAVE	Chief of Base, JHWAVE	Chief, WRD	Transmittal of letters sent to Movimiento Democrata Cristiano representative in Cuba concerning Jose Ignacio RASCO's connection with the HDC, obtained by AMULLA-1 for duplication and delivery via the Italian Embassy's diplomatic pouch.
104-10220-10294	Cable Regarding AMULLA-1 and Information Security	Cable	Cuba	SECRET	1961-06-19	JMWAVE	DIRECTOR	C/BELL 8	Cable discusses concerns regarding AMULLA-1 and potential risks to future operations due to his handling of information. It outlines plans to implement stricter controls on materials obtained from AMULLA-1 to protect sensitive information.
104-10221-10032	HUS TRACKS INDICATE SURJ REF HAS BHEN UNDER ODENVY INVESTIGATION	Cable	Cuba	SECRET	1959-01-13	WH/III/CARIB	DIRECTOR	SACU	This cable discusses an investigation into possible registration act violations by a subject in Santiago de Cuba. It also mentions Frank Fiorini of Norfolk, VA, who claimed to be an arms buyer in Miami and willing to cooperate with information on rebels.
104-10221-10222	FELIPE VIDAL SANTIAGO	Report	INTERNAL SECURITY - CUBA	SECRET	1962-12-10	FEDERAL BUREAU OF INVESTIGATION		INS, Miami, Florida	Report on FELIPE VIDAL SANTIAGO, a Cuban refugee involved in anti-CASTRO activities in Miami, Florida. Subject defected from the CASTRO government while employed as Cuban Naval Attache in Caracas, Venezuela.
104-10221-10310	TYPIC/OPERATIONAL Special Activities Report on JMWAVE's Relationship with AMCARDON-1	Dispatch	Operations	SECRET	1964-03-19	CIA	Chief, Special Affairs Staff	Chief of Station, JMWAVE	This dispatch reports on JMWAVE's relationship with AMCARDON-1, including operational support, intelligence, and propaganda activities.
104-10222-10001	Contract Information and Check List and Contract Agreement for Bruce G. Mastrocola	Contract	Personnel	SECRET	1959-06-01	CIA	Contracting Officer	Bruce G. Mastrocola	Contract agreement between the United States Government and Bruce G. Mastrocola for confidential information and related services, detailing compensation, travel, operational expenses, secrecy obligations, and terms of agreement.
104-10222-10043	Personnel Actions related to Floryan Karty	Personnel Action Request	Personnel	SECRET	1963-07-17	DDP/WH	DDP/PE/2120/BANGKOK STATION/OPERATIONS BRANCH	Finance Division	Personnel actions related to Floryan Karty's reassignment to Mexico City and Bangkok. Includes salary adjustments, official disability claim notices, and creditable service documentation.
104-10225-10035	JMWAVE 4480: AMMUG/1 Employment and Background	Cable	Personnel	SECRET	1965-12-25	JMWAVE	JMWAVE	DIRECTOR	This cable discusses the employment and background checks of AMMUG/1, including their cover status, salary, and attempts to purchase a house locally. It also mentions issues with informing WOGAME about employment changes and requests early acknowledgment to expedite the house purchase.
